"gene_symbol","module_color","MM","MM_pvalue","GS","GS_pvalue"
"BTG2","salmon",0.73343217609275,0.0383920216788945,0.363873069258482,0.37556852202152
"APOA2","salmon",0.798654518482537,0.0174489099511,0.338569550929127,0.41202631060234
"TSC22D2","salmon",0.717527401017776,0.0450838447803706,0.329699041529008,0.425151857956716
"TNFAIP6","salmon",0.620150674386134,0.100947988658823,0.3422960102389,0.406564897564217
"TMEM88","salmon",0.600364600359462,0.115560178343194,0.209278964749694,0.6189088163238
"FPR2","salmon",0.479269120766043,0.229497256406229,0.14064359741999,0.739750140780224
"GLA","salmon",0.750188894614766,0.0320367443177946,0.39450493370747,0.33346791081956
"PPIB","salmon",0.865351338724419,0.00550331171609689,0.857628171386395,0.00646616797661968
"HSPA9","salmon",0.656521924524276,0.0770018145967799,0.58217458901217,0.129987922323948
"JUND","salmon",0.607963375317169,0.109815390819066,0.252534395856167,0.54624414526268
"NPTX2","salmon",0.930370426783892,0.000800499124452814,0.553374876576932,0.15478341575468
"RCAN1","salmon",0.769098933140154,0.0256928008261113,0.662638542238658,0.0733413075653322
"NCRNA00181","salmon",0.705077160798147,0.0507821140905394,0.772553820243155,0.0246259088126771
"MAP3K8","salmon",0.786383443074977,0.0206319187674005,0.477001958631242,0.232026715247342
"SEPT11","salmon",0.559407705340182,0.149391295267474,0.377894257152236,0.356014415664494
"PPPDE1","salmon",0.770624221295819,0.0252183285660436,0.474885739806548,0.23440058555315
"CA12","salmon",0.578156710465199,0.133303500514597,0.657082779232532,0.076661812438686
"LOC100289494","salmon",0.888113576400502,0.00321438095527369,0.566988343555573,0.142764496337507
"RANBP2","salmon",0.762699759183168,0.0277433751306775,0.550966639718001,0.156965162256447
"IL1RN","salmon",0.691945923419742,0.0572387661384927,0.406006209776234,0.318259378263862
"PTX3","salmon",0.73828351280965,0.0364796535427771,0.452406987919648,0.260373887730824
"CNTN1","salmon",0.78957323597079,0.0197724043832453,0.572093948621275,0.138394741421672
"TRIB1","salmon",0.817990774373127,0.0130909488858007,0.475566166745288,0.23363596751612
"SERPINA1","salmon",0.972775988284208,4.94181467792238e-05,0.875837046257192,0.00435081768775375
"SPRY4","salmon",0.926398411600529,0.000942571411333941,0.61726487658975,0.103009189011589
"KIAA1217","salmon",0.908735754851189,0.00177268307655842,0.862831835681083,0.0058065277828803
"AKIRIN1","salmon",0.697533668714788,0.0544347010390299,0.546859655426391,0.160724389195256
"PLAU","salmon",0.893075798630135,0.00281626586957643,0.752369563336864,0.0312609847719303
"PCOLCE","salmon",0.707996716959878,0.0494091549800713,0.731169165981723,0.0393045154911884
"ETV6","salmon",0.85801466229623,0.00641560681566422,0.824557731141468,0.0117862192736284
"RGPD1","salmon",0.684946714002873,0.0608703489790536,0.318109589821151,0.44256132074563
